plot_id	visit_id	date	year	park	gsp_zone	tier	aspect	canopy	habitat	slope_deg	soil_moisture	soil_bare	soil_compaction	soil_compaction_notes	soil_stability	soil_om	special_features	size_ac	observers	walking_directions	plot_description	restoration_stage	ref_object_1	ref_bearing_1	ref_distance_1	ref_dbh_1	ref_object_2	ref_bearing_2	ref_distance_2	ref_dbh_2	ref_object_3	ref_bearing_3	ref_distance_3	ref_dbh_3	latitude	longitude	accuracy_ft	photos	hours	field_notes	qaqc_notes	qaqc_origin	qaqc_score	visit_rank	visit_last	visit_first	visit_n	status
198	198_201209	2012-09-09	2012	Seward Park	Big Toe	2	SE	75-100%	Conifer Deciduous Mixed	26	dry	0-20%	none		none	>1		0.1	"Bill Hlavacek, Malia Caracoglia"	"From the bathroom @ picnic shelter #3, walk west 146 ft. from the men's bathroom door @ 280 degrees toward the base of a large multi-branched Big Leaf Maple."	There is a large grassy area on the southeast edge of the plot. Toward the northern edge of the plot there is a large downed Douglas Fir tree. A large multi-branched Big Leaf Maple is approximately 10 feet to the west of the center marker. There is a leaning Madrone tree approximately 10 feet south of the center marker.; Reference Object 1: Bathroom @ picnic shelter #3; Reference Object 2: ARME	cleared and planted	Bathroom @ picnic shelter #3	100	146	0	ARME	180	10	13					47.55135	-122.2557		1	5				Good +	1	0	1	2	1
198	198_201809	2018-09-13	2018	Seward Park	Big Toe	1	SE	75-100%	Conifer Deciduous Mixed	26	dry	0-20%	none		none	0.5-1		0.1	"EC 2018: NS, CB"	"From the bathroom @ picnic shelter #3, walk west 146 ft. from the men's bathroom door @ 280 degrees toward the base of a large multi-branched Big Leaf Maple."	There is a large grassy area on the southeast edge of the plot. Toward the northern edge of the plot there is a large downed Douglas Fir tree. A large multi-branched Big Leaf Maple is approximately 10 feet to the west of the center marker. There is a leaning Madrone tree approximately 10 feet south of the center marker.; Reference Object 1: Bathroom @ picnic shelter #3; Reference Object 2: ARME	cleared and planted	PSME	92	15.8	22.5	PSME	234	41.5	41					47.55135	-122.2557		3	3		Missing w facing photo…	EarthCorps 2018		2	1	0	2	1
199	199_201009	2010-09-20	2010	Seward Park	FES2	2	S	75-100%	Madrone Conifer Mixed	8	damp	0-20%	none		none	0.5-1		0.1	"Margaret Metz-Holland, Malia Caracoglia"	From picnic shelter #4 (upper loop road) go NE approx 300ft	"Road is 10-20 from edge, grass area to south of plot, large multi stemmed madrone Ne of center plot."	not in restoration													47.5505609167	-122.249958167		0			"Determined during data collection to have poison oak, probably will not remonitor plot."		Good +	1	0	1	2	0
199	199_201308	2013-08-06	2013	Seward Park	FES2	1	SE	75-100%	Madrone Conifer Mixed	8	dry	0-20%	none		none	0-0.5		0.1	Darrell Howe	"From the south end of the parking area at Shelter #4 on the Seward Park Loop Drive walk south on Drive approximately 100 feet.  On the right curb locate steel Catch Basin grate (30""x 16"")next to ""No Parking"" sign w/ steel post.  From CB travel 110 feet bearing 260-degrees (westerly) between pair of mature PSME.  Center point is north of downed ARME log."	"SE sloping dry site on upslope side of Loop Drive with mature PSME and ARME canopy.  Many mature planted ornamental shrubs present in area.  Spectacular multi-stemmed ARME just NE of plot. Cleared grassy area to SW.  Understory dominated by Honeysuckle and impressive Poison Oak patch with some vines climbing 50 feet into trees.  Initial restoration appears complete as of 2013 but is on edge of newly planted section.; Reference Object 1: Pinus sp. 2-needled w/ reddish bark - planted ornamental?; Reference Object 2: PSME tall, straight and slightly leaning and healthy"	cleared only (not planted)	Pinus sp.	100	6	16.5	PSME	300	10	22.5					47.55056	-122.24996		8	2			FMT vol - GSP 2013	Good -	2	1	0	2	0
200	200_201106	2011-06-13	2011	Seward Park	FES3	2	E	0-25%	Grassland	9	damp	0-20%	none		none	0		0.1	"Darrell Howe, Collene Gaolach"	Take the drive up the loop road @ Seward Park and stop at the parking area near the picnic shelters overlooking the lake (3rd? parking area) - the parking area at the N end of the loop right before it turns back on itself.  Go 193 ft @ 118 degrees from the extremely large PSME at the end of the parking area.	"Grassy open meadow facing down towards the lake.  Restoration area to the S, Picnic shelters to the SW.; ; 43ft tall Snag to SE approximately 72 ft from plot center.  No CWD on plot, mostly a monoculture of field grasses."	unknown	PSME	0	37.5	25	PSME	180	102	21					47.55206	-122.24807			4				Good -	1	0	1	2	0
200	200_201308	2013-08-08	2013	Seward Park	FES3	1	E	0-25%	Grassland	5	dry	20-40%	none		none	0-0.5		0.1	Darrell Howe	Take the drive up the loop road @ Seward Park and stop at the parking area near the picnic shelters overlooking the lake (3rd? parking area) - the parking area at the N end of the loop right before it turns back on itself.  Go 193 ft @ 118 degrees from the extremely large PSME at the end of the parking area.	"Grassy open meadow facing down towards the lake.  Restoration area to the S, Picnic shelters to the SW.; ; 43ft tall Snag to SE approximately 72 ft from plot center.  No CWD on plot, mostly a monoculture of field grasses.  1/2 of plot in full restoration with plantings.  25% of plot blanket mulched.  3/4 of plot planted in Salix.; Reference Object 1: PSME Lone fir in open field - healthy; Reference Object 2: PSME"	partially cleared and planted	PSME	0	37.5	25	PSME	180	102	21					47.55206	-122.24807		6	2			Forterra 2013	Good -	2	1	0	2	0
201	201_201106	2011-06-02	2011	Seward Park	FES4	2	S	75-100%	Conifer Deciduous Mixed	1.6	damp	0-20%	none		none	0-0.5	Mountain beaver sign	0.1	Collene Gaolach; ; Malia Caracogolia	"From the loop drive, park at the far end of the parking at the lot near the end of the loop.  This will be on the W side of the amphitheater.; ;   ; ; Travel S 120 feet along the forest/meadow edge on W side of amphitheater.  When you are at the correct spot, to your W will be a western larch (the 3rd one in from the parking lot) with a large madrone behind it and to E will be approximately the back row of amphitheater seats.; ; ; ; Next proceed 100 ft directly W into the forest to plot center."	"The plot is along the NW edge of a more open area of the forest.; ; There is a large downed log w/i 3 feet N of plot center.; ; There is a small birch w/i 3 feet S of plot center.; ; WITNESS TREES:; ; ALRU 21.5 DBH with dead top 148 degrees, 20 feet from plot center; ; ARME 20 DBH 352 degrees, 37 feet from plot center"	not in restoration	ALRU	148	20	21.5	ARME	352	37	20					47.55062	-122.25278			3				Good +	1	0	1	3	0
201	201_201209	2012-09-08	2012	Seward Park	FES4	1	S	75-100%	Conifer Deciduous Mixed	2	damp	0-20%	none		none	0-0.5	Mountain beaver sign	0.1	Malia Caracoglia	"From the loop drive, park at the far end of the parking lot near the end of the loop. This will be on the West side of the amphitheater. Thrave S 120 feet along the forest/meadow edge on West side of the amphitheater. When you are at the correct spot, to your W will be a non-native Cedar ( the 3rd one in fromt he parking lot) with a large madrone behind it and to the East will be approximately the back from of amphitheater seats. Next proceed 100 ft directly West into the forest to plot center. You will walk through 2012 restored area-open canopy. Plot center is just to the NOrth of this edge."	"The plot is along the NW edge of a more open restored area of the forest. There is a large downed log within 3 feet of the plot center. There is a small birch within 3 feet of the plot center. WINTESS TREES. ALRU 21.5 DBH with dead top 148 degrees, 20 feet from the plot center. ARME 20 DBH 352 degrees, 37 feet from plot center. Plot has a lot of indian plub and oregon grape. South edge of plot is in 2012 restored portion. Witness treee #1 boarders the edge of open/new restoration area.; Reference Object 1: ALRU; Reference Object 2: ARME"	partially cleared (not planted)	ALRU	148	20	21.5	ARME	352	37	20					47.55062	-122.25278			1.5				Good +	2	0	0	3	0
201	201_201310	2013-10-23	2013	Seward Park	FES4	1	S	75-100%	Conifer Deciduous Mixed	2	damp	0-20%	none		none	0-0.5	Mountain beaver sign	0.1	Dylan Mendenhall and Kate Kourbatova	"On the loop drive, park at the lot north of the amphitheater, looking down on it. Facing the amphitheater, walk downhill along the west side of the field until you see an opening into a clearing on the right (~200 feet down from the road). Go there. At the north end of the clearing, there is a lone Madrona. From here walk 50 feet on a bearing of 292 to a large (still living) decayed Red Alder, which is reference tree 1. The center is just inside the woods from here. Good luck!"	The plot is along the NW edge of an open clearing of the forest. There is a large downed log within 3' of the plot center. There is a small birch tree also within 3' of the plot center.; Reference Object 1: ALRU; Reference Object 2: ARME	cleared and planted	ALRU	148	20	21.5	ARME	352	37	20					47.55062	-122.25278			4			FMT vol - GSP 2013	Good +	3	1	0	3	0
202	202_201109	2011-09-12	2011	Seward Park	GO	2	S	75-100%	Madrone Conifer Mixed	6.5	dry	0-20%	none		none	0.5-1	poison oak	0.1	"Meredith Stone, Cadi Poile, Gwen Wessels, Catherine Carter, Luke McGrath, Malia Caracoglia"	"Pass shelter #1, go E past rotary turnaround at E end of S parking lot. Follow paved trail east to stone trail marker ""Oak Grove - Clark Prairie Trail."" The marker is north from bench marked ""Mary Hussman, Pat Groom."" Plot is 52 degrees and 162 feet from roofed information sign next to the rotary."	Very large madrone next to plot. Redwood NE of plot. Apple tree NE of trail marker. Grassy area in plot may be restored. Plot faces south to Lake Washington. 2 paved trails and bench are visible from plot.	not in restoration	stone trail sign	210	62	5	Malus sp.	56	30	6.5					47.54948	-122.25307		4	15		3/4 of site is lawn.  Park intends to restore to natural area.  Other 1/4 has poison oak.		Good +	1	0	1	2	1
